OBJECTID,ZIP,Total_Pop,White__,African_Am,Asian__,Hispanic_o,No_English,Under_5yea,Under_18ye,F18to64year,F65years_an,Male_,Female_,High_Schoo,Associate_,Bachelor_D,Food_Stamp,Med_Income,No_HS,Poverty,SHAPE_Length,SHAPE_Area
1,60002,24305,88.6484262497,1.19728450936,2.49331413289,5.31577864637,10.2,5.6,24.1,63,12.8,53.1413289447,46.8586710553,94.3,8.2,29.3,7.52874810154,75928,5.7,10.5,215525.155184302,-1149062138.05097
2,60010,44416,82.5986131124,0.569614553314,10.3408681556,4.72352305476,18.8,4.6,24.5,57.2,18.4,48.8067363112,51.1932636888,97.2,5.4,64.3,2.46219222597,122789,2.8,4.9,178637.109618213,-802735362.801093
3,60015,27373,88.5288422898,0.895042560187,4.46059986118,4.94648010814,17,4.7,26.5,58.7,14.6,48.9935337742,51.0064662258,97.6,3.5,71.5,1.73949491774,130140,2.5,3.5,111400.890557562,-367457579.631725
4,60020,10246,80.66562561,1.54206519617,4.50907671286,12.5902791333,22.3,8.6,21.4,63.2,15.3,48.0870583642,51.9129416358,88.9,7.9,22.7,14.1627906977,55431,11.2,11.2,92363.08462543,-166617676.169473
5,60030,36563,77.5948363099,2.88543062659,5.68881109318,11.5663375544,16.1,5.7,25.3,62,12.7,49.7853020813,50.2146979187,93.8,6.2,45.5,7.10406575664,81055,6.2,5.5,247258.224672015,-845517890.63461
6,60031,37920,65.8860759494,7.85864978903,10.1819620253,13.0353375527,22.6,4.7,26.6,63.5,10,48.3544303797,51.6455696203,94.1,8.3,45.2,5.27371739754,83500,6,4.9,163995.18156145,-527117600.519725
7,60035,29837,86.7211851057,2.2790495023,2.46003284513,7.19911519255,15.9,5.5,25.2,54,20.7,49.0598920803,50.9401079197,96.3,3.5,69.5,2.72538501471,115372,3.8,6.7,115796.723819509,-345792947.352408
8,60040,5400,48.7037037037,2.92592592593,1.75925925926,46.2962962963,55.3,7.6,23.3,62.2,14.4,47.9259259259,52.0740740741,81.3,7.5,32.6,9.60784313725,54176,18.8,13.3,25907.3724672055,-17809434.3375795
9,60042,8556,82.3749415615,0.759700794764,0.736325385694,12.7279102384,18.4,5.4,27,65,8,48.4338475923,51.5661524077,90.4,7.9,23.1,8.37579617834,63792,9.7,11.4,45385.3952256937,-45177572.9803738
10,60044,9683,84.4263141588,0.919136631209,7.31178353816,5.22565320665,13.6,4.1,22.6,61.9,15.5,47.3303728183,52.6696271817,96.6,3.7,69.6,3.78787878788,93849,3.4,5.4,92539.7087308084,-212777737.946437
11,60045,20516,90.0272957692,1.1113277442,4.62078377851,2.75394813804,11.4,4.3,25,56.8,18.3,48.9374147007,51.0625852993,97.9,3.2,75.1,1.59469376235,152658,2.1,4.5,161457.245301156,-621475385.129652
12,60046,34859,82.6414986087,2.41831377836,4.54688889526,8.05530852864,11.8,6.8,27.9,62.3,9.8,49.3473708368,50.6526291632,95.3,8.3,39.9,4.28022069888,83104,4.7,4.3,207743.912573801,-730424359.514813
13,60047,42221,81.6631534071,1.48504298809,8.55261599678,6.2338646645,20.3,5,26.2,63.8,9.9,49.060893868,50.939106132,95.8,6,58.2,2.76403840559,127561,4.1,3.9,176981.859419951,-919381804.827633
