OBJECTID,ZIP,PCT_EARLY,Avg_Age,Cancer_D,Heart_D,COPD_D,SHAPE_Length,SHAPE_Area
1,60002,0.520875334,71.0554123711,183.54664801,150.623482448,32.9231655624,215525.155184302,-1149062138.05097
2,60010,0.259170096,78.4993429698,96.1560267604,87.5382696451,19.9569112144,178637.109618213,-802735362.801093
3,60015,0.310690256,78.0252324037,150,135.820895522,16.4179104478,111400.890557562,-367457579.631725
4,60020,0.458125975,72.8113207547,217.811704835,209.669211196,56.9974554707,92363.08462543,-166617676.169473
5,60030,0.402194094,73.7100130039,120.368315953,100.399378744,24.4064788107,247258.224672015,-845517890.63461
6,60031,0.431510503,72.2959805116,120.167602182,95.9232613909,20.5549845838,163995.18156145,-527117600.519725
7,60035,0.242993918,78.552,288.277391392,159.2581393,20.8312334106,115796.723819509,-345792947.352408
8,60040,0.310522759,80.1016949153,132.5722703,180.445590131,22.0953783834,25907.3724672055,-17809434.3375795
9,60042,0.538142955,68.912,72.5400725401,60.8400608401,16.38001638,45385.3952256937,-45177572.9803738
10,60044,0.308195561,74.576,167.483660131,126.633986928,22.4673202614,92539.7087308084,-212777737.946437
11,60045,0.231846812,78.497,88.8888888889,61.1708482676,7.64635603345,161457.245301156,-621475385.129652
12,60046,0.448469584,73.662,101.392725926,99.683859759,0.569622055766,207743.912573801,-730424359.514813
13,60047,0.379918465,75.925,109.433871703,97.4345436656,20.6388442247,176981.859419951,-919381804.827633
14,60048,0.28996938,78.074,166.351606805,162.914590136,27.4961333562,196071.573674229,-819008275.917019
15,60060,0.438970166,69.283,115.087794778,79.5934281642,21.5117373417,180171.962435806,-617591322.949219
16,60061,0.316446596,77.298,235.358086065,188.752524468,37.2844492776,102713.138127103,-257421150.568738
17,60064,0.599319909,64.137,135.003569806,149.282793535,24.6641137145,90452.8955856721,-139901116.547721
18,60069,0.19039118,81.198,197.996183206,145.515267176,42.9389312977,146555.427438204,-170066928.728412
19,60073,0.589579531,67.85,100.329989,76.9974334189,22.9992333589,209118.936757727,-519658694.929367
20,60083,0.45922517,69.787,73.1856068307,40.6586704615,6.09880056922,164753.217611984,-728237916.581256
21,60084,0.448596346,73.662,153.836980502,132.371355316,34.5835072446,159182.367882784,-505163484.500021
22,60085,0.574318348,67.901,116.321485024,114.902930329,27.5604912252,137038.94775375,-391907383.860635
23,60087,0.487845734,67.901,116.321485024,114.902930329,27.5604912252,163122.611792904,-389880041.847101
24,60089,0.344231384,76.561,86.1965184311,71.2686297643,12.5201646883,164174.744391824,-227772422.156281
25,60096,0.509789392,69.364,211.686240394,147.890387125,43.4971726838,62444.4716610905,-141373658.447506
26,60099,0.481732959,70.009,218.621399177,208.976337449,46.9393004115,188925.390246103,-626264179.765553
27,60041,0.531757067,0,0,0,0,152724.616882952,-391955019.532177
