OBJECTID,STATE,ZIP,Zipcode,Pct_Obese,ObsOrOvrwt,SHAPE_Length,SHAPE_Area
1,IL,60002,60002,0.266,0.615,215525.155184302,-1149062138.05097
2,IL,60010,60010,0.145,0.482,178637.109618213,-802735362.801093
3,IL,60015,60015,0.135,0.463,111400.890557562,-367457579.631725
4,IL,60020,60020,0.267,0.608,92363.08462543,-166617676.169473
5,IL,60030,60030,0.23,0.573,247258.224672015,-845517890.63461
6,IL,60031,60031,0.234,0.578,163995.18156145,-527117600.519725
7,IL,60035,60035,0.132,0.469,115796.723819509,-345792947.352408
8,IL,60040,60040,0.186,0.531,25907.3724672055,-17809434.3375795
9,IL,60041,60041,0.213,0.564,152724.616882952,-391955019.532177
10,IL,60042,60042,0.242,0.585,45385.3952256937,-45177572.9803738
11,IL,60044,60044,0.146,0.473,92539.7087308084,-212777737.946437
12,IL,60045,60045,0.117,0.451,161457.245301156,-621475385.129652
13,IL,60046,60046,0.248,0.593,207743.912573801,-730424359.514813
14,IL,60047,60047,0.163,0.503,176981.859419951,-919381804.827633
15,IL,60048,60048,0.159,0.496,196071.573674229,-819008275.917019
16,IL,60060,60060,0.218,0.568,180171.962435806,-617591322.949219
17,IL,60061,60061,0.171,0.504,102713.138127103,-257421150.568738
18,IL,60064,60064,0.357,0.709,90452.8955856721,-139901116.547721
19,IL,60069,60069,0.146,0.493,146555.427438204,-170066928.728412
20,IL,60073,60073,0.28,0.63,209118.936757727,-519658694.929367
21,IL,60083,60083,0.228,0.597,164753.217611984,-728237916.581256
22,IL,60084,60084,0.228,0.578,159182.367882784,-505163484.500021
23,IL,60085,60085,0.323,0.679,137038.94775375,-391907383.860635
24,IL,60087,60087,0.312,0.669,163122.611792904,-389880041.847101
25,IL,60089,60089,0.188,0.523,164174.744391824,-227772422.156281
26,IL,60096,60096,0.281,0.641,62444.4716610905,-141373658.447506
27,IL,60099,60099,0.341,0.679,188925.390246103,-626264179.765553
